"Mois";"Archipel";"Classe";"Chambres offertes";"Chambres vendues";"CMR";"RevPar";"RMC"
"août 2018";"Îles-Sous-Le-Vent";"Luxe";"22594";"19645";"0.86947862264317965";"80299.909312206786";"92354.092695342333"
"août 2018";"Îles-Sous-Le-Vent";"Tourisme";"713";"534";"0.74894810659186539";"23342.796633941092";"31167.441947565541"
"septembre 2018";"Autres archipels";"Grand Tourisme";"2040";"1377";"0.67500000000000004";"12884.480882352942";"19088.119825708061"
"septembre 2018";"Autres archipels";"Luxe";"2910";"2448";"0.84123711340206186";"31623.735395189004";"37591.940359477121"
"septembre 2018";"Îles Du Vent";"Grand Tourisme";"10860";"8910";"0.8204419889502762";"19737.987569060773";"24057.749158249157"
"septembre 2018";"Îles Du Vent";"Luxe";"25440";"18807";"0.73926886792452828";"25535.531800314464";"34541.603073323764"
"septembre 2018";"Îles Du Vent";"Tourisme";"7740";"6240";"0.80620155038759689";"9298.4585271317828";"11533.664903846155"
"septembre 2018";"Îles-Sous-Le-Vent";"Grand Tourisme";"7770";"5273";"0.67863577863577862";"17754.811325611325";"26162.50407737531"
"septembre 2018";"Îles-Sous-Le-Vent";"Luxe";"21870";"18107";"0.82793781435756741";"67300.623228166442";"81287.050864306628"
"septembre 2018";"Îles-Sous-Le-Vent";"Tourisme";"690";"506";"0.73333333333333328";"22396.614492753622";"30540.837944664032"
