Date;SH;Pays;Poids;Valeur;DTE;CodeICSCH;ICSCH
01/07/2018;33049910;FRP;77;228908;2837;2;Commerce
01/07/2018;33049921;FRP;12352;9719450;1852585;1;Industrie
01/07/2018;33049921;USP;431;440000;57127;1;Industrie
01/07/2018;33049921;USP;445;684082;69047;2;Commerce
01/07/2018;33049929;FRP;281;326275;1567;1;Industrie
01/07/2018;33049929;FRP;18;86314;780;2;Commerce
01/07/2018;33049929;FRP;1;31905;520;2;Commerce
01/07/2018;33049929;JPP;50;118250;333;1;Industrie
01/07/2018;33049929;USP;378;1379660;1964;1;Industrie
01/07/2018;33049929;WFP;213;380000;1144;1;Industrie
01/07/2018;33049930;FRP;26;26000;213;1;Industrie
01/07/2018;33049930;FRP;12;92673;910;2;Commerce
01/07/2018;33049930;VUP;20;69000;186;1;Industrie
01/07/2018;33049990;FRP;1;8046;650;2;Commerce
01/07/2018;33049990;GBP;109;134784;626;2;Commerce
01/07/2018;33049990;NZP;588;1656396;3008;2;Commerce
01/07/2018;33051010;FRP;57;57700;370;1;Industrie
01/07/2018;33051010;VUP;7;22500;130;1;Industrie
01/07/2018;33073090;FRP;1;4580;390;2;Commerce
01/07/2018;34011110;FRP;7;44500;650;2;Commerce
01/07/2018;34011190;FRP;54;159845;1656;2;Commerce
01/07/2018;34012000;FRP;83;142830;496;3;Services
01/07/2018;34013000;FRP;63;63630;400;1;Industrie
01/07/2018;34013000;FRP;0;651;130;2;Commerce
01/07/2018;38220000;NZP;7;1109;130;6;Autre secteur
01/07/2018;38249090;NCP;6;2700;85;1;Industrie
01/07/2018;39139000;CAP;8;3009795;260;1;Industrie
01/07/2018;39232990;FRP;30;18546;231;3;Services
01/07/2018;39232990;USP;35;41620;339;3;Services
01/07/2018;39269099;FRP;19;43585;794;2;Commerce
01/07/2018;39264000;FRP;48;162095;1820;2;Commerce
01/07/2018;40161000;FRP;3;14000;390;2;Commerce
01/07/2018;44201000;FRP;97;573817;3238;2;Commerce
01/07/2018;44219000;GBP;45;378992;308;2;Commerce
01/07/2018;44219000;USP;28;230380;308;2;Commerce
01/07/2018;44219000;USP;53;353220;348;2;Commerce
01/07/2018;46021910;FRP;0;4766;260;2;Commerce
01/07/2018;46029000;FRP;1;3531;130;2;Commerce
01/07/2018;47079000;NZP;219970;1000000;85;1;Industrie
01/07/2018;42022900;FRP;5;13253;260;2;Commerce
01/07/2018;42023200;FRP;51;179026;3774;2;Commerce
01/07/2018;42023900;FRP;1;3500;130;2;Commerce
01/07/2018;42029900;FRP;0;7600;260;2;Commerce
01/07/2018;42029900;FRP;11;35967;910;2;Commerce
01/07/2018;48195000;FRP;2;5200;130;2;Commerce
01/07/2018;48201000;FRP;1;3885;520;2;Commerce
01/07/2018;48201000;FRP;60;55427;383;3;Services
01/07/2018;49019990;FRP;20;119118;2470;2;Commerce
01/07/2018;49029000;FRP;1036;484124;5405;3;Services
01/07/2018;49089000;FRP;10;33020;650;2;Commerce
01/07/2018;49090000;FRP;1;3245;260;2;Commerce
01/07/2018;49100000;FRP;9;30800;520;2;Commerce
01/07/2018;49111090;FRP;210;715558;1129;3;Services
01/07/2018;49119100;FRP;2;16580;260;2;Commerce
01/07/2018;48211000;FRP;195;254815;1054;3;Services
01/07/2018;48211000;USP;19;69000;179;3;Services
01/07/2018;48236900;FRP;516;451008;2650;3;Services
01/07/2018;48236900;USP;941;751680;4763;3;Services
01/07/2018;49011090;FRP;210;916685;1129;3;Services
01/07/2018;49119910;FRP;32;40541;244;3;Services
